Comarca,Casos
BARCELONES,28987
BAIX LLOBREGAT,24692
VALLES OCCIDENTAL,18434
VALLES ORIENTAL,16749
MARESME,15121
OSONA,8858
BAGES,7631
SELVA,6597
SEGRIA,6563
GIRONES,6274
ALT EMPORDA,5874
TARRAGONES,5856
ANOIA,5672
BAIX EMPORDA,5321
ALT PENEDES,4625
BAIX CAMP,4564
GARRAF,3638
BAIX PENEDES,3121
GARROTXA,2802
PLA D'URGELL,2531
BAIX EBRE,2330
NOGUERA,2259
URGELL,2175
BERGUEDA,2047
MONTSIA,2029
PLA DE L'ESTANY,1658
ALT CAMP,1567
RIPOLLES,1479
SEGARRA,1263
CERDANYA,1133
GARRIGUES,1066
VALL D'ARAN,985
ALT URGELL,947
CONCA DE BARBERA,944
RIBERA D'EBRE,863
MOIANÈS,785
SOLSONES,573
TERRA ALTA,519
PALLARS JUSSA,504
PALLARS SOBIRA,412
PRIORAT,359
ALTA RIBAGORÇA,164
